date,asn,is_up_and_open,ixp,as_name,type,method,count_of_as,total_nets,total_discarded_nets,total_nets_without_discards
2022-05-01 00:00:00,14463,S,br-gru,TDKOM,sym,asy24,1,15,0,15
2022-05-01 00:00:00,14500,S,us-sea,Galaxybroadband Communications,sym,asy24,1,9,0,9
2022-05-01 00:00:00,14537,S,nl-ams,Continent 8 Technologies PLC,sym,asy24,1,105,22,83
2022-05-01 00:00:00,14537,S,uk-lnd,Continent8,sym,asy24,1,105,22,83
2022-05-01 00:00:00,14551,S,br-gru,VERIZON,asy_out,asy24,1,40,0,40
2022-05-01 00:00:00,14593,S,br-gru,SpaceX,asy_out,asy24,1,1,0,1
2022-05-01 00:00:00,14593,S,us-sea,SpaceX - Starlink,asy_out,asy24,1,1,0,1
2022-05-01 00:00:00,14593,S,uk-lnd,Starlink Internet Services UK Ltd.,asy_out,asy24,1,1,0,1
2022-05-01 00:00:00,14630,S,nl-ams,Invesco Group Services,sym,asy24,1,16,12,4
2022-05-01 00:00:00,14630,S,uk-lnd,Invesco UK Limited,sym,asy24,1,16,12,4
2022-05-01 00:00:00,14650,S,br-gru,f.dns.br,sym,asy24,1,2,1,1
2022-05-01 00:00:00,147039,S,uk-lnd,"",Sem Redes na Amostra,asy24,1,,,
2022-05-01 00:00:00,14840,S,br-poa,BR.DIGITAL,sym,asy24,1,110,0,110
2022-05-01 00:00:00,14840,S,uk-lnd,CommCorp Communications,sym,asy24,1,111,0,111
2022-05-01 00:00:00,14840,S,br-gru,Commcorp-v4,sym,asy24,1,111,0,111
2022-05-01 00:00:00,14868,S,br-gru,Copel___s3-v4,sym,asy24,1,201,0,201
2022-05-01 00:00:00,14907,S,nl-ams,Wikimedia Foundation Inc,sym,asy24,1,7,5,2
2022-05-01 00:00:00,15133,S,br-gru,Edgecast,Híbrido,asy24,1,223,209,14
2022-05-01 00:00:00,15133,S,uk-lnd,EdgeCast Networks,sym,asy24,1,224,190,34
2022-05-01 00:00:00,15133,S,us-sea,Verizon Digital Media Services (EdgeCast Networks),Híbrido,asy24,1,224,203,21
2022-05-01 00:00:00,15133,S,nl-ams,Verizon Digital Media Services Inc,Híbrido,asy24,1,224,185,39
2022-05-01 00:00:00,15169,S,br-gru,Google,sym,asy24,1,11160,0,11160
2022-05-01 00:00:00,15169,S,nl-ams,Google,sym,asy24,1,11154,0,11154
