date,asn,ixp,as_name,type,method,count_of_as,total_nets,total_discarded_nets,total_nets_without_discards
2022-05-01 00:00:00,12578,nl-ams,Lattelecom SIA,asy_out,any23,1,1150,257,893
2022-05-01 00:00:00,12578,nl-ams,Lattelecom SIA,asy_out,asy23,1,1150,257,893
2022-05-01 00:00:00,12578,nl-ams,Lattelecom SIA,sym,any24,1,1169,0,1169
2022-05-01 00:00:00,12578,nl-ams,Lattelecom SIA,sym,asy24,1,1169,0,1169
2022-05-01 00:00:00,12637,nl-ams,Seeweb s.r.l.,sym,any23,1,185,0,185
2022-05-01 00:00:00,12637,nl-ams,Seeweb s.r.l.,sym,any24,1,185,0,185
2022-05-01 00:00:00,12637,nl-ams,Seeweb s.r.l.,sym,asy23,1,185,0,185
2022-05-01 00:00:00,12637,nl-ams,Seeweb s.r.l.,sym,asy24,1,185,0,185
2022-05-01 00:00:00,1267,uk-lnd,Wind International Services S. p. A.,asy_out,any23,1,1808,0,1808
2022-05-01 00:00:00,1267,uk-lnd,Wind International Services S. p. A.,asy_out,asy23,1,1808,0,1808
2022-05-01 00:00:00,1267,uk-lnd,Wind International Services S. p. A.,sym,any24,1,1812,0,1812
2022-05-01 00:00:00,1267,uk-lnd,Wind International Services S. p. A.,sym,asy24,1,1812,0,1812
2022-05-01 00:00:00,1267,nl-ams,Wind Tre S.P.A.,asy_out,any23,1,1807,0,1807
2022-05-01 00:00:00,1267,nl-ams,Wind Tre S.P.A.,asy_out,asy23,1,1807,0,1807
2022-05-01 00:00:00,1267,nl-ams,Wind Tre S.P.A.,sym,any24,1,1811,0,1811
2022-05-01 00:00:00,1267,nl-ams,Wind Tre S.P.A.,sym,asy24,1,1811,0,1811
2022-05-01 00:00:00,12693,nl-ams,e.discom Telekommunikation GmbH,sym,any23,1,128,0,128
2022-05-01 00:00:00,12693,nl-ams,e.discom Telekommunikation GmbH,sym,any24,1,128,0,128
2022-05-01 00:00:00,12693,nl-ams,e.discom Telekommunikation GmbH,sym,asy23,1,128,0,128
2022-05-01 00:00:00,12693,nl-ams,e.discom Telekommunikation GmbH,sym,asy24,1,128,0,128
2022-05-01 00:00:00,12695,nl-ams,LLC Digital Network,sym,any23,1,334,0,334
2022-05-01 00:00:00,12695,nl-ams,LLC Digital Network,sym,any24,1,334,0,334
2022-05-01 00:00:00,12695,nl-ams,LLC Digital Network,sym,asy23,1,334,0,334
2022-05-01 00:00:00,12695,nl-ams,LLC Digital Network,sym,asy24,1,334,0,334
2022-05-01 00:00:00,12713,nl-ams,OTE International Solutions S.A.,sym,any23,1,7,0,7
2022-05-01 00:00:00,12713,nl-ams,OTE International Solutions S.A.,sym,any24,1,7,0,7
2022-05-01 00:00:00,12713,nl-ams,OTE International Solutions S.A.,sym,asy23,1,7,0,7
2022-05-01 00:00:00,12713,nl-ams,OTE International Solutions S.A.,sym,asy24,1,7,0,7
2022-05-01 00:00:00,12713,uk-lnd,OTEGlobe S.A.,sym,any23,1,7,0,7
2022-05-01 00:00:00,12713,uk-lnd,OTEGlobe S.A.,sym,any24,1,7,0,7
2022-05-01 00:00:00,12713,uk-lnd,OTEGlobe S.A.,sym,asy23,1,7,0,7
2022-05-01 00:00:00,12713,uk-lnd,OTEGlobe S.A.,sym,asy24,1,7,0,7
2022-05-01 00:00:00,12714,nl-ams,NetByNet,asy_out,any23,1,1146,16,1130
2022-05-01 00:00:00,12714,nl-ams,NetByNet,asy_out,asy23,1,1146,16,1130
2022-05-01 00:00:00,12714,nl-ams,NetByNet,sym,any24,1,1153,0,1153
2022-05-01 00:00:00,12714,nl-ams,NetByNet,sym,asy24,1,1153,0,1153
2022-05-01 00:00:00,12731,nl-ams,IPHH Internet Port Hamburg GmbH,sym,any23,1,31,0,31
2022-05-01 00:00:00,12731,nl-ams,IPHH Internet Port Hamburg GmbH,sym,any24,1,31,0,31
